Tipo,DIRECCION,Mes,Clientes,Soportes,Reincidencias,RR,Reincidencias sobre soportes,RR sobre soportes,IDS,IDR
NACIONAL,NACIONAL,ABRIL,3807961,142212,37742,16881,26.54,11.87,3.73,0.99
NACIONAL,NACIONAL,ENERO,3557181,134015,37492,16145,27.98,12.05,3.77,1.05
NACIONAL,NACIONAL,FEBRERO,3646445,127080,35459,14422,27.9,11.35,3.49,0.97
NACIONAL,NACIONAL,MARZO,3732621,142112,39162,15249,27.56,10.73,3.81,1.05
NACIONAL,NACIONAL,MAYO,3892082,154689,39506,16849,25.54,10.89,3.97,1.02
DIRECCION,CENTRO,ABRIL,1420150,47143,11164,4429,23.68,9.39,3.32,0.79
DIRECCION,CENTRO,ENERO,1340621,43641,11020,4155,25.25,9.52,3.26,0.82
DIRECCION,CENTRO,FEBRERO,1368763,42173,10895,3794,25.83,9,3.08,0.8
DIRECCION,CENTRO,MARZO,1395333,46809,11915,4004,25.45,8.55,3.35,0.85
DIRECCION,CENTRO,MAYO,1445837,52566,12402,4859,23.59,9.24,3.64,0.86
DIRECCION,NORTE-NORESTE,ABRIL,1059867,44281,13204,6731,29.82,15.2,4.18,1.25
DIRECCION,NORTE-NORESTE,ENERO,968116,42272,13619,6377,32.22,15.09,4.37,1.41
DIRECCION,NORTE-NORESTE,FEBRERO,999744,39326,12504,5769,31.8,14.67,3.93,1.25
DIRECCION,NORTE-NORESTE,MARZO,1031973,43878,13414,5872,30.57,13.38,4.25,1.3
DIRECCION,NORTE-NORESTE,MAYO,1095115,47556,13393,6233,28.16,13.11,4.34,1.22
DIRECCION,OCCIDENTE-BAJIO,ABRIL,712285,33868,9316,4465,27.51,13.18,4.75,1.31
DIRECCION,OCCIDENTE-BAJIO,ENERO,667588,31883,8798,4350,27.59,13.64,4.78,1.32
DIRECCION,OCCIDENTE-BAJIO,FEBRERO,683533,30452,8306,3789,27.28,12.44,4.46,1.22
DIRECCION,OCCIDENTE-BAJIO,MARZO,698838,33727,9271,4043,27.49,11.99,4.83,1.33
DIRECCION,OCCIDENTE-BAJIO,MAYO,725639,37041,9699,4480,26.18,12.09,5.1,1.34
DIRECCION,ORIENTE-SUR,ABRIL,615656,16919,4058,1256,23.98,7.42,2.75,0.66
DIRECCION,ORIENTE-SUR,ENERO,580856,16219,4055,1263,25,7.79,2.79,0.7
DIRECCION,ORIENTE-SUR,FEBRERO,594404,15129,3754,1070,24.81,7.07,2.55,0.63
DIRECCION,ORIENTE-SUR,MARZO,606475,17696,4562,1330,25.78,7.52,2.92,0.75
DIRECCION,ORIENTE-SUR,MAYO,625483,17525,4012,1277,22.89,7.29,2.8,0.64
PLAZA,ACAPULCO,ABRIL,11087,267,92,23,34.46,8.61,2.41,0.83
PLAZA,ACAPULCO,ENERO,9755,277,107,33,38.63,11.91,2.84,1.1
PLAZA,ACAPULCO,FEBRERO,10290,249,83,21,33.33,8.43,2.42,0.81
PLAZA,ACAPULCO,MARZO,10746,274,92,29,33.58,10.58,2.55,0.86
PLAZA,ACAPULCO,MAYO,11477,311,79,17,25.4,5.47,2.71,0.69
PLAZA,AGUASCALIENTES,ABRIL,59488,1604,304,98,18.95,6.11,2.7,0.51
PLAZA,AGUASCALIENTES,ENERO,56708,1320,304,89,23.03,6.74,2.33,0.54
PLAZA,AGUASCALIENTES,FEBRERO,57800,1397,333,65,23.84,4.65,2.42,0.58
PLAZA,AGUASCALIENTES,MARZO,58816,1586,318,86,20.05,5.42,2.7,0.54
PLAZA,AGUASCALIENTES,MAYO,60297,1609,319,116,19.83,7.21,2.67,0.53
PLAZA,CANCUN,ABRIL,54425,2548,782,299,30.69,11.73,4.68,1.44
PLAZA,CANCUN,ENERO,50393,2203,716,234,32.5,10.62,4.37,1.42
PLAZA,CANCUN,FEBRERO,51868,2199,650,205,29.56,9.32,4.24,1.25
PLAZA,CANCUN,MARZO,53222,2459,765,249,31.11,10.13,4.62,1.44
PLAZA,CANCUN,MAYO,55594,2535,749,274,29.55,10.81,4.56,1.35
PLAZA,CDMX,ABRIL,1272490,41331,9771,3786,23.64,9.16,3.25,0.77
PLAZA,CDMX,ENERO,1199579,38045,9711,3528,25.53,9.27,3.17,0.81
PLAZA,CDMX,FEBRERO,1225561,36760,9450,3183,25.71,8.66,3,0.77
PLAZA,CDMX,MARZO,1250536,40978,10483,3401,25.58,8.3,3.28,0.84
PLAZA,CDMX,MAYO,1295836,46239,10848,4143,23.46,8.96,3.57,0.84
PLAZA,CELAYA,ABRIL,24983,756,169,65,22.35,8.6,3.03,0.68
PLAZA,CELAYA,ENERO,23747,743,163,49,21.94,6.59,3.13,0.69
PLAZA,CELAYA,FEBRERO,24146,601,110,33,18.3,5.49,2.49,0.46
PLAZA,CELAYA,MARZO,24559,626,138,40,22.04,6.39,2.55,0.56
PLAZA,CELAYA,MAYO,25441,833,209,74,25.09,8.88,3.27,0.82
PLAZA,CHIHUAHUA,ABRIL,64763,1854,412,150,22.22,8.09,2.86,0.64
PLAZA,CHIHUAHUA,ENERO,61427,1674,492,163,29.39,9.74,2.73,0.8
PLAZA,CHIHUAHUA,FEBRERO,62749,1947,588,161,30.2,8.27,3.1,0.94
PLAZA,CHIHUAHUA,MARZO,63832,1961,559,176,28.51,8.98,3.07,0.88
PLAZA,CHIHUAHUA,MAYO,65657,1874,443,121,23.64,6.46,2.85,0.67
PLAZA,CIUDAD JUAREZ,ABRIL,132718,7675,2521,1462,32.85,19.05,5.78,1.9
PLAZA,CIUDAD JUAREZ,ENERO,124225,7653,2794,1635,36.51,21.36,6.16,2.25
PLAZA,CIUDAD JUAREZ,FEBRERO,127168,6976,2691,1507,38.58,21.6,5.49,2.12
PLAZA,CIUDAD JUAREZ,MARZO,130199,8010,2727,1408,34.04,17.58,6.15,2.09
PLAZA,CIUDAD JUAREZ,MAYO,135236,7355,2168,1186,29.48,16.13,5.44,1.6
PLAZA,CIUDAD OBREGON / NAVOJOA,ABRIL,10097,315,108,28,34.29,8.89,3.12,1.07
PLAZA,CIUDAD OBREGON / NAVOJOA,ENERO,6388,242,106,22,43.8,9.09,3.79,1.66
PLAZA,CIUDAD OBREGON / NAVOJOA,FEBRERO,7643,242,64,14,26.45,5.79,3.17,0.84
PLAZA,CIUDAD OBREGON / NAVOJOA,MARZO,8995,232,71,13,30.6,5.6,2.58,0.79
PLAZA,CIUDAD OBREGON / NAVOJOA,MAYO,11236,318,101,22,31.76,6.92,2.83,0.9
PLAZA,CIUDAD VICTORIA,ABRIL,1333,39,34,2,87.18,5.13,2.93,2.55
PLAZA,CIUDAD VICTORIA,ENERO,0,0,0,0,0,0,0,0
PLAZA,CIUDAD VICTORIA,FEBRERO,42,0,0,0,0,0,0,0
PLAZA,CIUDAD VICTORIA,MARZO,179,5,0,0,0,0,2.79,0
PLAZA,CIUDAD VICTORIA,MAYO,2688,120,108,5,90,4.17,4.46,4.02
PLAZA,COATZA / MINA,ABRIL,21284,555,128,40,23.06,7.21,2.61,0.6
PLAZA,COATZA / MINA,ENERO,19916,579,146,40,25.22,6.91,2.91,0.73
PLAZA,COATZA / MINA,FEBRERO,20518,540,129,49,23.89,9.07,2.63,0.63
PLAZA,COATZA / MINA,MARZO,20900,509,109,33,21.41,6.48,2.44,0.52
PLAZA,COATZA / MINA,MAYO,21590,597,139,47,23.28,7.87,2.77,0.64
PLAZA,COLIMA / MANZANILLO,ABRIL,3551,137,76,14,55.47,10.22,3.86,2.14
PLAZA,COLIMA / MANZANILLO,ENERO,1266,61,52,10,85.25,16.39,4.82,4.11
PLAZA,COLIMA / MANZANILLO,FEBRERO,1872,70,35,10,50,14.29,3.74,1.87
PLAZA,COLIMA / MANZANILLO,MARZO,2598,100,40,5,40,5,3.85,1.54
PLAZA,COLIMA / MANZANILLO,MAYO,4648,224,120,19,53.57,8.48,4.82,2.58
PLAZA,CORDOBA / ORIZABA,ABRIL,31901,523,110,14,21.03,2.68,1.64,0.34
PLAZA,CORDOBA / ORIZABA,ENERO,30253,501,139,19,27.74,3.79,1.66,0.46
PLAZA,CORDOBA / ORIZABA,FEBRERO,30919,488,146,12,29.92,2.46,1.58,0.47
PLAZA,CORDOBA / ORIZABA,MARZO,31513,628,156,15,24.84,2.39,1.99,0.5
PLAZA,CORDOBA / ORIZABA,MAYO,32342,645,139,25,21.55,3.88,1.99,0.43
PLAZA,CUERNAVACA,ABRIL,60283,1574,310,88,19.7,5.59,2.61,0.51
PLAZA,CUERNAVACA,ENERO,57154,1401,327,104,23.34,7.42,2.45,0.57
PLAZA,CUERNAVACA,FEBRERO,58199,1397,302,94,21.62,6.73,2.4,0.52
PLAZA,CUERNAVACA,MARZO,59339,1603,346,91,21.58,5.68,2.7,0.58
PLAZA,CUERNAVACA,MAYO,61275,1565,309,100,19.74,6.39,2.55,0.5
PLAZA,CULIACAN,ABRIL,45859,1165,284,77,24.38,6.61,2.54,0.62
PLAZA,CULIACAN,ENERO,40781,1081,266,76,24.61,7.03,2.65,0.65
PLAZA,CULIACAN,FEBRERO,42588,921,236,49,25.62,5.32,2.16,0.55
PLAZA,CULIACAN,MARZO,44416,1212,298,72,24.59,5.94,2.73,0.67
PLAZA,CULIACAN,MAYO,47392,1482,305,109,20.58,7.35,3.13,0.64
PLAZA,GUADALAJARA,ABRIL,382554,23239,6775,3541,29.15,15.24,6.07,1.77
PLAZA,GUADALAJARA,ENERO,365401,22079,6155,3420,27.88,15.49,6.04,1.68
PLAZA,GUADALAJARA,FEBRERO,371943,21375,6063,3057,28.36,14.3,5.75,1.63
PLAZA,GUADALAJARA,MARZO,377757,23253,6791,3280,29.2,14.11,6.16,1.8
PLAZA,GUADALAJARA,MAYO,387376,24693,6792,3504,27.51,14.19,6.37,1.75
PLAZA,GUANAJUATO,ABRIL,14798,610,207,32,33.93,5.25,4.12,1.4
PLAZA,GUANAJUATO,ENERO,12867,414,151,34,36.47,8.21,3.22,1.17
PLAZA,GUANAJUATO,FEBRERO,13575,447,114,27,25.5,6.04,3.29,0.84
PLAZA,GUANAJUATO,MARZO,14221,590,159,26,26.95,4.41,4.15,1.12
PLAZA,GUANAJUATO,MAYO,15391,598,178,29,29.77,4.85,3.89,1.16
PLAZA,HERMOSILLO,ABRIL,29882,1055,271,82,25.69,7.77,3.53,0.91
PLAZA,HERMOSILLO,ENERO,27261,865,197,73,22.77,8.44,3.17,0.72
PLAZA,HERMOSILLO,FEBRERO,28183,675,211,57,31.26,8.44,2.4,0.75
PLAZA,HERMOSILLO,MARZO,29164,906,248,88,27.37,9.71,3.11,0.85
PLAZA,HERMOSILLO,MAYO,30666,1000,213,64,21.3,6.4,3.26,0.69
PLAZA,IRAPUATO,ABRIL,35660,843,220,57,26.1,6.76,2.36,0.62
PLAZA,IRAPUATO,ENERO,32711,897,261,76,29.1,8.47,2.74,0.8
PLAZA,IRAPUATO,FEBRERO,33855,718,197,39,27.44,5.43,2.12,0.58
PLAZA,IRAPUATO,MARZO,34765,964,252,54,26.14,5.6,2.77,0.72
PLAZA,IRAPUATO,MAYO,36423,934,216,51,23.13,5.46,2.56,0.59
PLAZA,LA LAGUNA,ABRIL,59558,1781,507,167,28.47,9.38,2.99,0.85
PLAZA,LA LAGUNA,ENERO,53111,1461,503,127,34.43,8.69,2.75,0.95
PLAZA,LA LAGUNA,FEBRERO,55248,1526,536,147,35.12,9.63,2.76,0.97
PLAZA,LA LAGUNA,MARZO,57409,1704,530,146,31.1,8.57,2.97,0.92
PLAZA,LA LAGUNA,MAYO,62064,2080,538,201,25.87,9.66,3.35,0.87
PLAZA,LEON,ABRIL,94262,3877,853,405,22,10.45,4.11,0.9
PLAZA,LEON,ENERO,86883,3673,921,396,25.07,10.78,4.23,1.06
PLAZA,LEON,FEBRERO,89548,3184,730,309,22.93,9.7,3.56,0.82
PLAZA,LEON,MARZO,92174,3690,861,338,23.33,9.16,4,0.93
PLAZA,LEON,MAYO,96263,4833,1075,440,22.24,9.1,5.02,1.12
PLAZA,MATAMOROS,ABRIL,11,0,0,0,0,0,0,0
PLAZA,MATAMOROS,ENERO,0,0,1,0,#¡NUM!,0,0,#¡NUM!
PLAZA,MATAMOROS,FEBRERO,0,0,0,0,0,0,0,0
PLAZA,MATAMOROS,MARZO,0,0,0,0,0,0,0,0
PLAZA,MATAMOROS,MAYO,1657,52,51,1,98.08,1.92,3.14,3.08
PLAZA,MAZATLAN,ABRIL,22721,612,158,52,25.82,8.5,2.69,0.7
PLAZA,MAZATLAN,ENERO,19806,782,267,84,34.14,10.74,3.95,1.35
PLAZA,MAZATLAN,FEBRERO,20709,683,235,75,34.41,10.98,3.3,1.13
PLAZA,MAZATLAN,MARZO,21830,716,218,62,30.45,8.66,3.28,1
PLAZA,MAZATLAN,MAYO,23448,707,186,55,26.31,7.78,3.02,0.79
PLAZA,MERIDA,ABRIL,52921,2366,674,250,28.49,10.57,4.47,1.27
PLAZA,MERIDA,ENERO,49320,2229,630,246,28.26,11.04,4.52,1.28
PLAZA,MERIDA,FEBRERO,50800,2146,635,232,29.59,10.81,4.22,1.25
PLAZA,MERIDA,MARZO,52043,2668,811,292,30.4,10.94,5.13,1.56
PLAZA,MERIDA,MAYO,53835,2252,607,240,26.95,10.66,4.18,1.13
PLAZA,MEXICALI,ABRIL,38505,1076,300,97,27.88,9.01,2.79,0.78
PLAZA,MEXICALI,ENERO,35285,945,257,66,27.2,6.98,2.68,0.73
PLAZA,MEXICALI,FEBRERO,36430,980,255,86,26.02,8.78,2.69,0.7
PLAZA,MEXICALI,MARZO,37659,1219,352,90,28.88,7.38,3.24,0.93
PLAZA,MEXICALI,MAYO,39434,1404,388,142,27.64,10.11,3.56,0.98
PLAZA,MONTERREY,ABRIL,268557,12409,3593,1921,28.95,15.48,4.62,1.34
PLAZA,MONTERREY,ENERO,248729,11611,3685,1683,31.74,14.49,4.67,1.48
PLAZA,MONTERREY,FEBRERO,255998,10578,3331,1558,31.49,14.73,4.13,1.3
PLAZA,MONTERREY,MARZO,262883,11469,3440,1568,29.99,13.67,4.36,1.31
PLAZA,MONTERREY,MAYO,275077,13355,3648,1815,27.32,13.59,4.86,1.33
PLAZA,MORELIA,ABRIL,27140,588,142,33,24.15,5.61,2.17,0.52
PLAZA,MORELIA,ENERO,25776,567,157,29,27.69,5.11,2.2,0.61
PLAZA,MORELIA,FEBRERO,26317,533,155,38,29.08,7.13,2.03,0.59
PLAZA,MORELIA,MARZO,26794,636,150,41,23.58,6.45,2.37,0.56
PLAZA,MORELIA,MAYO,27603,616,109,27,17.69,4.38,2.23,0.39
PLAZA,PACHUCA,ABRIL,55844,1537,406,102,26.42,6.64,2.75,0.73
PLAZA,PACHUCA,ENERO,53227,1460,380,103,26.03,7.05,2.74,0.71
PLAZA,PACHUCA,FEBRERO,54336,1399,359,83,25.66,5.93,2.57,0.66
PLAZA,PACHUCA,MARZO,55210,1489,393,101,26.39,6.78,2.7,0.71
PLAZA,PACHUCA,MAYO,56484,1657,343,83,20.7,5.01,2.93,0.61
PLAZA,PIEDRAS NEGRAS / MONCLOVA,ABRIL,559,10,3,2,30,20,1.79,0.54
PLAZA,PIEDRAS NEGRAS / MONCLOVA,ENERO,0,0,0,0,0,0,0,0
PLAZA,PIEDRAS NEGRAS / MONCLOVA,FEBRERO,0,0,0,0,0,0,0,0
PLAZA,PIEDRAS NEGRAS / MONCLOVA,MARZO,3,0,0,0,0,0,0,0
PLAZA,PIEDRAS NEGRAS / MONCLOVA,MAYO,3648,130,18,14,13.85,10.77,3.56,0.49
PLAZA,POZA RICA,ABRIL,12503,255,48,13,18.82,5.1,2.04,0.38
PLAZA,POZA RICA,ENERO,11853,311,82,28,26.37,9,2.62,0.69
PLAZA,POZA RICA,FEBRERO,12104,253,65,13,25.69,5.14,2.09,0.54
PLAZA,POZA RICA,MARZO,12318,283,65,24,22.97,8.48,2.3,0.53
PLAZA,POZA RICA,MAYO,12697,293,39,14,13.31,4.78,2.31,0.31
PLAZA,PUEBLA,ABRIL,155930,2988,592,151,19.81,5.05,1.92,0.38
PLAZA,PUEBLA,ENERO,148537,2713,580,152,21.38,5.6,1.83,0.39
PLAZA,PUEBLA,FEBRERO,151559,2634,559,123,21.22,4.67,1.74,0.37
PLAZA,PUEBLA,MARZO,154057,3015,656,167,21.76,5.54,1.96,0.43
PLAZA,PUEBLA,MAYO,158184,3248,633,173,19.49,5.33,2.05,0.4
PLAZA,PUERTO VALLARTA,ABRIL,24262,909,262,111,28.82,12.21,3.75,1.08
PLAZA,PUERTO VALLARTA,ENERO,22622,992,343,171,34.58,17.24,4.39,1.52
PLAZA,PUERTO VALLARTA,FEBRERO,23211,897,278,123,30.99,13.71,3.86,1.2
PLAZA,PUERTO VALLARTA,MARZO,23747,909,226,86,24.86,9.46,3.83,0.95
PLAZA,PUERTO VALLARTA,MAYO,24779,1011,257,104,25.42,10.29,4.08,1.04
PLAZA,QUERETARO,ABRIL,41128,1201,253,106,21.07,8.83,2.92,0.62
PLAZA,QUERETARO,ENERO,38570,1094,261,71,23.86,6.49,2.84,0.68
PLAZA,QUERETARO,FEBRERO,39515,1162,256,82,22.03,7.06,2.94,0.65
PLAZA,QUERETARO,MARZO,40379,1284,291,83,22.66,6.46,3.18,0.72
PLAZA,QUERETARO,MAYO,41903,1515,331,105,21.85,6.93,3.62,0.79
PLAZA,REYNOSA,ABRIL,6320,388,371,95,95.62,24.48,6.14,5.87
PLAZA,REYNOSA,ENERO,96,1,0,0,0,0,1.04,0
PLAZA,REYNOSA,FEBRERO,1099,89,15,3,16.85,3.37,8.1,1.36
PLAZA,REYNOSA,MARZO,3868,272,210,23,77.21,8.46,7.03,5.43
PLAZA,REYNOSA,MAYO,9412,510,397,67,77.84,13.14,5.42,4.22
PLAZA,SALTILLO,ABRIL,62642,1846,433,193,23.46,10.46,2.95,0.69
PLAZA,SALTILLO,ENERO,57760,2032,665,276,32.73,13.58,3.52,1.15
PLAZA,SALTILLO,FEBRERO,59880,1711,504,211,29.46,12.33,2.86,0.84
PLAZA,SALTILLO,MARZO,61613,1752,502,190,28.65,10.84,2.84,0.81
PLAZA,SALTILLO,MAYO,63828,2324,510,228,21.94,9.81,3.64,0.8
PLAZA,SAN LUIS POTOSI,ABRIL,130639,5059,1249,795,24.69,15.71,3.87,0.96
PLAZA,SAN LUIS POTOSI,ENERO,125247,5023,1391,587,27.69,11.69,4.01,1.11
PLAZA,SAN LUIS POTOSI,FEBRERO,127634,4567,1261,551,27.61,12.06,3.58,0.99
PLAZA,SAN LUIS POTOSI,MARZO,129360,4828,1152,529,23.86,10.96,3.73,0.89
PLAZA,SAN LUIS POTOSI,MAYO,132019,6061,1420,795,23.43,13.12,4.59,1.08
PLAZA,TAMPICO,ABRIL,12512,621,312,64,50.24,10.31,4.96,2.49
PLAZA,TAMPICO,ENERO,4548,426,339,42,79.58,9.86,9.37,7.45
PLAZA,TAMPICO,FEBRERO,7563,586,259,57,44.2,9.73,7.75,3.42
PLAZA,TAMPICO,MARZO,10307,680,362,78,53.24,11.47,6.6,3.51
PLAZA,TAMPICO,MAYO,14628,759,389,74,51.25,9.75,5.19,2.66
PLAZA,TEPIC,ABRIL,4459,104,55,3,52.88,2.88,2.33,1.23
PLAZA,TEPIC,ENERO,1037,43,30,5,69.77,11.63,4.15,2.89
PLAZA,TEPIC,FEBRERO,1751,68,35,6,51.47,8.82,3.88,2
PLAZA,TEPIC,MARZO,3028,89,45,4,50.56,4.49,2.94,1.49
PLAZA,TEPIC,MAYO,5515,175,93,11,53.14,6.29,3.17,1.69
PLAZA,TIJUANA,ABRIL,173191,8376,2648,1544,31.61,18.43,4.84,1.53
PLAZA,TIJUANA,ENERO,163452,8476,2656,1543,31.34,18.2,5.19,1.62
PLAZA,TIJUANA,FEBRERO,166810,7845,2318,1293,29.55,16.48,4.7,1.39
PLAZA,TIJUANA,MARZO,170256,8912,2745,1429,30.8,16.03,5.23,1.61
PLAZA,TIJUANA,MAYO,177025,8025,2510,1334,31.28,16.62,4.53,1.42
PLAZA,TOLUCA,ABRIL,147660,5812,1393,643,23.97,11.06,3.94,0.94
PLAZA,TOLUCA,ENERO,141042,5596,1309,627,23.39,11.2,3.97,0.93
PLAZA,TOLUCA,FEBRERO,143202,5413,1445,611,26.69,11.29,3.78,1.01
PLAZA,TOLUCA,MARZO,144797,5831,1432,603,24.56,10.34,4.03,0.99
PLAZA,TOLUCA,MAYO,150001,6327,1554,716,24.56,11.32,4.22,1.04
PLAZA,TUXTLA,ABRIL,27866,630,164,39,26.03,6.19,2.26,0.59
PLAZA,TUXTLA,ENERO,25689,470,132,25,28.09,5.32,1.83,0.51
PLAZA,TUXTLA,FEBRERO,26399,604,151,27,25,4.47,2.29,0.57
PLAZA,TUXTLA,MARZO,27244,669,180,48,26.91,7.17,2.46,0.66
PLAZA,TUXTLA,MAYO,28558,847,216,53,25.5,6.26,2.97,0.76
PLAZA,VERACRUZ,ABRIL,59079,2063,436,176,21.13,8.53,3.49,0.74
PLAZA,VERACRUZ,ENERO,55801,2663,527,217,19.79,8.15,4.77,0.94
PLAZA,VERACRUZ,FEBRERO,57007,1960,399,154,20.36,7.86,3.44,0.7
PLAZA,VERACRUZ,MARZO,58232,2503,659,214,26.33,8.55,4.3,1.13
PLAZA,VERACRUZ,MAYO,59958,2075,450,174,21.69,8.39,3.46,0.75
PLAZA,VILLAHERMOSA,ABRIL,18507,444,116,18,26.13,4.05,2.4,0.63
PLAZA,VILLAHERMOSA,ENERO,16652,334,104,16,31.14,4.79,2.01,0.62
PLAZA,VILLAHERMOSA,FEBRERO,17389,316,103,11,32.59,3.48,1.82,0.59
PLAZA,VILLAHERMOSA,MARZO,17992,332,102,18,30.72,5.42,1.85,0.57
PLAZA,VILLAHERMOSA,MAYO,19004,432,118,21,27.31,4.86,2.27,0.62
PLAZA,XALAPA,ABRIL,54026,1169,200,43,17.11,3.68,2.16,0.37
PLAZA,XALAPA,ENERO,52306,1078,185,46,17.16,4.27,2.06,0.35
PLAZA,XALAPA,FEBRERO,53016,944,173,46,18.33,4.87,1.78,0.33
PLAZA,XALAPA,MARZO,53659,1264,228,49,18.04,3.88,2.36,0.42
PLAZA,XALAPA,MAYO,54485,1068,191,56,17.88,5.24,1.96,0.35
DISTRITO,ACAPULCO,ABRIL,11087,267,92,23,34.46,8.61,2.41,0.83
DISTRITO,ACAPULCO,ENERO,9755,277,107,33,38.63,11.91,2.84,1.1
DISTRITO,ACAPULCO,FEBRERO,10290,249,83,21,33.33,8.43,2.42,0.81
DISTRITO,ACAPULCO,MARZO,10746,274,92,29,33.58,10.58,2.55,0.86
DISTRITO,ACAPULCO,MAYO,11477,311,79,17,25.4,5.47,2.71,0.69
DISTRITO,AEROPUERTO,ABRIL,43018,1634,388,151,23.75,9.24,3.8,0.9
DISTRITO,AEROPUERTO,ENERO,41329,1484,365,160,24.6,10.78,3.59,0.88
DISTRITO,AEROPUERTO,FEBRERO,41947,1313,300,130,22.85,9.9,3.13,0.72
DISTRITO,AEROPUERTO,MARZO,42487,1508,388,171,25.73,11.34,3.55,0.91
DISTRITO,AEROPUERTO,MAYO,43571,1826,422,153,23.11,8.38,4.19,0.97
DISTRITO,AGUASCALIENTES,ABRIL,59488,1604,304,98,18.95,6.11,2.7,0.51
DISTRITO,AGUASCALIENTES,ENERO,56708,1320,304,89,23.03,6.74,2.33,0.54
DISTRITO,AGUASCALIENTES,FEBRERO,57800,1397,333,65,23.84,4.65,2.42,0.58
DISTRITO,AGUASCALIENTES,MARZO,58816,1586,318,86,20.05,5.42,2.7,0.54
DISTRITO,AGUASCALIENTES,MAYO,60297,1609,319,116,19.83,7.21,2.67,0.53
DISTRITO,ARAGON,ABRIL,63331,2217,448,174,20.21,7.85,3.5,0.71
DISTRITO,ARAGON,ENERO,61523,2223,478,168,21.5,7.56,3.61,0.78
DISTRITO,ARAGON,FEBRERO,62195,1980,430,135,21.72,6.82,3.18,0.69
DISTRITO,ARAGON,MARZO,62776,2165,458,147,21.15,6.79,3.45,0.73
DISTRITO,ARAGON,MAYO,63905,2308,496,191,21.49,8.28,3.61,0.78
DISTRITO,AZCAPOTZALCO,ABRIL,54742,2202,573,291,26.02,13.22,4.02,1.05
DISTRITO,AZCAPOTZALCO,ENERO,52794,1977,565,276,28.58,13.96,3.74,1.07
DISTRITO,AZCAPOTZALCO,FEBRERO,53586,1761,478,187,27.14,10.62,3.29,0.89
