Cosecha,AñoSemana,Reincidencias
TecSem14,2022-14,358
TecSem14,2022-15,107
TecSem14,2022-16,115
TecSem14,2022-17,83
TecSem14,2022-18,91
TecSem14,2022-19,78
TecSem14,2022-20,86
TecSem14,2022-21,78
TecSem14,2022-22,49
TecSem14,2022-23,76
TecSem14,2022-24,60
TecSem14,2022-25,51
TecSem14,2022-26,50
TecSem14,2022-27,43
TecSem14,2022-28,40
TecSem14,2022-29,45
TecSem15,2022-15,332
TecSem15,2022-16,98
TecSem15,2022-17,59
TecSem15,2022-18,79
TecSem15,2022-19,81
TecSem15,2022-20,58
TecSem15,2022-21,52
TecSem15,2022-22,62
TecSem15,2022-23,65
TecSem15,2022-24,59
TecSem15,2022-25,54
TecSem15,2022-26,37
TecSem15,2022-27,35
TecSem15,2022-28,45
TecSem15,2022-29,49
TecSem15,2022-30,39
TecSem16,2022-16,284
TecSem16,2022-17,77
TecSem16,2022-18,89
TecSem16,2022-19,83
TecSem16,2022-20,68
TecSem16,2022-21,55
TecSem16,2022-22,68
TecSem16,2022-23,53
TecSem16,2022-24,51
TecSem16,2022-25,51
TecSem16,2022-26,34
TecSem16,2022-27,38
TecSem16,2022-28,42
TecSem16,2022-29,45
TecSem16,2022-30,27
TecSem16,2022-31,25
TecSem17,2022-17,254
TecSem17,2022-18,85
TecSem17,2022-19,63
TecSem17,2022-20,66
TecSem17,2022-21,49
TecSem17,2022-22,44
TecSem17,2022-23,54
TecSem17,2022-24,50
TecSem17,2022-25,39
TecSem17,2022-26,41
TecSem17,2022-27,34
TecSem17,2022-28,31
TecSem17,2022-29,22
TecSem17,2022-30,26
TecSem17,2022-31,21
TecSem17,2022-32,4
TecSem18,2022-18,328
TecSem18,2022-19,93
TecSem18,2022-20,85
TecSem18,2022-21,74
TecSem18,2022-22,56
TecSem18,2022-23,57
TecSem18,2022-24,61
TecSem18,2022-25,40
TecSem18,2022-26,34
TecSem18,2022-27,43
TecSem18,2022-28,44
TecSem18,2022-29,39
TecSem18,2022-30,32
TecSem18,2022-31,41
TecSem18,2022-32,15
TecSem18,2022-33,26
TecSem19,2022-19,338
TecSem19,2022-20,97
TecSem19,2022-21,71
TecSem19,2022-22,72
TecSem19,2022-23,75
TecSem19,2022-24,51
TecSem19,2022-25,55
TecSem19,2022-26,48
TecSem19,2022-27,53
TecSem19,2022-28,61
TecSem19,2022-29,49
TecSem19,2022-30,54
TecSem19,2022-31,36
TecSem19,2022-32,18
TecSem19,2022-33,14
TecSem19,2022-34,20
TecSem20,2022-20,357
TecSem20,2022-21,89
TecSem20,2022-22,90
TecSem20,2022-23,96
TecSem20,2022-24,65
TecSem20,2022-25,76
TecSem20,2022-26,55
TecSem20,2022-27,59
TecSem20,2022-28,67
TecSem20,2022-29,67
TecSem20,2022-30,81
TecSem20,2022-31,41
TecSem20,2022-32,25
TecSem20,2022-33,20
TecSem20,2022-34,21
TecSem21,2022-21,322
TecSem21,2022-22,95
TecSem21,2022-23,73
TecSem21,2022-24,70
TecSem21,2022-25,46
TecSem21,2022-26,50
TecSem21,2022-27,55
TecSem21,2022-28,53
TecSem21,2022-29,55
TecSem21,2022-30,49
TecSem21,2022-31,30
TecSem21,2022-32,21
TecSem21,2022-33,11
TecSem21,2022-34,14
TecSem22,2022-22,254
TecSem22,2022-23,57
TecSem22,2022-24,60
TecSem22,2022-25,44
TecSem22,2022-26,40
TecSem22,2022-27,26
TecSem22,2022-28,37
TecSem22,2022-29,35
TecSem22,2022-30,36
TecSem22,2022-31,24
TecSem22,2022-32,14
TecSem22,2022-33,17
TecSem22,2022-34,11
TecSem23,2022-23,284
TecSem23,2022-24,45
TecSem23,2022-25,58
TecSem23,2022-26,42
TecSem23,2022-27,40
TecSem23,2022-28,42
TecSem23,2022-29,41
TecSem23,2022-30,38
TecSem23,2022-31,30
TecSem23,2022-32,12
TecSem23,2022-33,16
TecSem23,2022-34,14
TecSem24,2022-24,250
TecSem24,2022-25,89
TecSem24,2022-26,66
TecSem24,2022-27,64
TecSem24,2022-28,49
TecSem24,2022-29,79
TecSem24,2022-30,77
TecSem24,2022-31,44
TecSem24,2022-32,23
TecSem24,2022-33,25
TecSem24,2022-34,21
TecSem25,2022-25,514
TecSem25,2022-26,141
TecSem25,2022-27,146
TecSem25,2022-28,143
TecSem25,2022-29,129
TecSem25,2022-30,118
TecSem25,2022-31,85
TecSem25,2022-32,47
TecSem25,2022-33,56
TecSem25,2022-34,53
TecSem26,2022-26,339
TecSem26,2022-27,108
TecSem26,2022-28,93
TecSem26,2022-29,98
TecSem26,2022-30,66
TecSem26,2022-31,69
TecSem26,2022-32,31
TecSem26,2022-33,34
TecSem26,2022-34,29
TecSem27,2022-27,505
TecSem27,2022-28,169
TecSem27,2022-29,149
TecSem27,2022-30,158
TecSem27,2022-31,91
TecSem27,2022-32,45
TecSem27,2022-33,53
TecSem27,2022-34,53
TecSem28,2022-28,477
TecSem28,2022-29,150
TecSem28,2022-30,155
TecSem28,2022-31,94
TecSem28,2022-32,48
TecSem28,2022-33,51
TecSem28,2022-34,53
TecSem29,2022-29,671
TecSem29,2022-30,204
TecSem29,2022-31,145
TecSem29,2022-32,75
TecSem29,2022-33,71
TecSem29,2022-34,78
TecSem30,2022-30,599
TecSem30,2022-31,125
TecSem30,2022-32,59
TecSem30,2022-33,67
TecSem30,2022-34,57
TecSem31,2022-31,370
TecSem31,2022-32,44
TecSem31,2022-33,53
TecSem31,2022-34,53
TecSem32,2022-32,325
TecSem32,2022-33,76
TecSem32,2022-34,55
TecSem33,2022-33,341
TecSem33,2022-34,79
TecSem34,2022-34,378
