Fecha,Distrito,Incumplimientos
18/01/2024,PORTALES,9
19/01/2024,PORTALES,12
20/01/2024,PORTALES,7
21/01/2024,PORTALES,5
22/01/2024,PORTALES,8
23/01/2024,PORTALES,8
24/01/2024,PORTALES,9
25/01/2024,PORTALES,21
26/01/2024,PORTALES,4
27/01/2024,PORTALES,6
28/01/2024,PORTALES,9
29/01/2024,PORTALES,3
30/01/2024,PORTALES,9
31/01/2024,PORTALES,5
01/02/2024,PORTALES,6
02/02/2024,PORTALES,9
03/02/2024,PORTALES,6
04/02/2024,PORTALES,8
05/02/2024,PORTALES,2
06/02/2024,PORTALES,7
07/02/2024,PORTALES,5
08/02/2024,PORTALES,9
09/02/2024,PORTALES,7
10/02/2024,PORTALES,3
11/02/2024,PORTALES,3
12/02/2024,PORTALES,5
13/02/2024,PORTALES,5
14/02/2024,PORTALES,3
15/02/2024,PORTALES,1
16/02/2024,PORTALES,5
17/02/2024,PORTALES,3
18/02/2024,PORTALES,1
19/02/2024,PORTALES,5
20/02/2024,PORTALES,7
21/02/2024,PORTALES,5
22/02/2024,PORTALES,6
23/02/2024,PORTALES,3
24/02/2024,PORTALES,4
25/02/2024,PORTALES,7
26/02/2024,PORTALES,15
27/02/2024,PORTALES,5
28/02/2024,PORTALES,7
29/02/2024,PORTALES,8
01/03/2024,PORTALES,4
02/03/2024,PORTALES,7
03/03/2024,PORTALES,6
04/03/2024,PORTALES,11
05/03/2024,PORTALES,12
06/03/2024,PORTALES,6
07/03/2024,PORTALES,9
08/03/2024,PORTALES,2
09/03/2024,PORTALES,4
10/03/2024,PORTALES,0
11/03/2024,PORTALES,9
12/03/2024,PORTALES,4
13/03/2024,PORTALES,6
14/03/2024,PORTALES,3
15/03/2024,PORTALES,5
16/03/2024,PORTALES,6
17/03/2024,PORTALES,2
18/03/2024,PORTALES,1
19/03/2024,PORTALES,10
20/03/2024,PORTALES,6
21/03/2024,PORTALES,3
22/03/2024,PORTALES,5
23/03/2024,PORTALES,6
24/03/2024,PORTALES,2
25/03/2024,PORTALES,4
26/03/2024,PORTALES,7
27/03/2024,PORTALES,9
28/03/2024,PORTALES,8
29/03/2024,PORTALES,6
30/03/2024,PORTALES,3
31/03/2024,PORTALES,2
01/04/2024,PORTALES,4
02/04/2024,PORTALES,7
03/04/2024,PORTALES,3
04/04/2024,PORTALES,12
05/04/2024,PORTALES,3
06/04/2024,PORTALES,4
07/04/2024,PORTALES,3
08/04/2024,PORTALES,4
09/04/2024,PORTALES,2
10/04/2024,PORTALES,1
11/04/2024,PORTALES,3
01/11/2023,SANTA FE,34
02/11/2023,SANTA FE,21
03/11/2023,SANTA FE,27
04/11/2023,SANTA FE,19
05/11/2023,SANTA FE,8
06/11/2023,SANTA FE,23
07/11/2023,SANTA FE,14
08/11/2023,SANTA FE,18
09/11/2023,SANTA FE,24
10/11/2023,SANTA FE,30
11/11/2023,SANTA FE,43
12/11/2023,SANTA FE,26
13/11/2023,SANTA FE,41
14/11/2023,SANTA FE,30
15/11/2023,SANTA FE,31
16/11/2023,SANTA FE,18
17/11/2023,SANTA FE,30
18/11/2023,SANTA FE,17
19/11/2023,SANTA FE,13
20/11/2023,SANTA FE,25
21/11/2023,SANTA FE,26
22/11/2023,SANTA FE,18
23/11/2023,SANTA FE,18
24/11/2023,SANTA FE,9
25/11/2023,SANTA FE,9
26/11/2023,SANTA FE,6
27/11/2023,SANTA FE,21
28/11/2023,SANTA FE,12
29/11/2023,SANTA FE,8
30/11/2023,SANTA FE,10
01/12/2023,SANTA FE,21
02/12/2023,SANTA FE,29
03/12/2023,SANTA FE,33
04/12/2023,SANTA FE,53
05/12/2023,SANTA FE,31
06/12/2023,SANTA FE,26
07/12/2023,SANTA FE,30
08/12/2023,SANTA FE,13
09/12/2023,SANTA FE,14
10/12/2023,SANTA FE,12
11/12/2023,SANTA FE,20
12/12/2023,SANTA FE,13
13/12/2023,SANTA FE,11
14/12/2023,SANTA FE,20
15/12/2023,SANTA FE,17
16/12/2023,SANTA FE,14
17/12/2023,SANTA FE,4
18/12/2023,SANTA FE,20
19/12/2023,SANTA FE,9
20/12/2023,SANTA FE,13
21/12/2023,SANTA FE,13
22/12/2023,SANTA FE,9
23/12/2023,SANTA FE,14
26/12/2023,SANTA FE,8
27/12/2023,SANTA FE,5
28/12/2023,SANTA FE,5
29/12/2023,SANTA FE,1
30/12/2023,SANTA FE,1
02/01/2024,SANTA FE,6
03/01/2024,SANTA FE,5
04/01/2024,SANTA FE,4
05/01/2024,SANTA FE,6
06/01/2024,SANTA FE,10
07/01/2024,SANTA FE,11
08/01/2024,SANTA FE,18
09/01/2024,SANTA FE,21
10/01/2024,SANTA FE,20
11/01/2024,SANTA FE,14
12/01/2024,SANTA FE,26
13/01/2024,SANTA FE,10
14/01/2024,SANTA FE,18
15/01/2024,SANTA FE,36
16/01/2024,SANTA FE,31
17/01/2024,SANTA FE,27
18/01/2024,SANTA FE,28
19/01/2024,SANTA FE,25
20/01/2024,SANTA FE,6
21/01/2024,SANTA FE,10
22/01/2024,SANTA FE,26
23/01/2024,SANTA FE,20
24/01/2024,SANTA FE,8
25/01/2024,SANTA FE,24
26/01/2024,SANTA FE,6
27/01/2024,SANTA FE,13
28/01/2024,SANTA FE,9
29/01/2024,SANTA FE,20
30/01/2024,SANTA FE,27
31/01/2024,SANTA FE,19
01/02/2024,SANTA FE,26
02/02/2024,SANTA FE,9
03/02/2024,SANTA FE,12
04/02/2024,SANTA FE,25
05/02/2024,SANTA FE,24
06/02/2024,SANTA FE,28
07/02/2024,SANTA FE,21
08/02/2024,SANTA FE,14
09/02/2024,SANTA FE,9
10/02/2024,SANTA FE,15
11/02/2024,SANTA FE,6
12/02/2024,SANTA FE,19
13/02/2024,SANTA FE,7
14/02/2024,SANTA FE,10
15/02/2024,SANTA FE,11
16/02/2024,SANTA FE,6
17/02/2024,SANTA FE,4
18/02/2024,SANTA FE,10
19/02/2024,SANTA FE,14
20/02/2024,SANTA FE,14
21/02/2024,SANTA FE,10
22/02/2024,SANTA FE,6
23/02/2024,SANTA FE,4
24/02/2024,SANTA FE,5
25/02/2024,SANTA FE,4
26/02/2024,SANTA FE,10
27/02/2024,SANTA FE,11
28/02/2024,SANTA FE,13
29/02/2024,SANTA FE,8
01/03/2024,SANTA FE,12
02/03/2024,SANTA FE,12
03/03/2024,SANTA FE,6
04/03/2024,SANTA FE,15
05/03/2024,SANTA FE,22
06/03/2024,SANTA FE,7
07/03/2024,SANTA FE,7
08/03/2024,SANTA FE,8
09/03/2024,SANTA FE,9
10/03/2024,SANTA FE,10
11/03/2024,SANTA FE,4
12/03/2024,SANTA FE,12
13/03/2024,SANTA FE,8
14/03/2024,SANTA FE,3
15/03/2024,SANTA FE,5
16/03/2024,SANTA FE,5
17/03/2024,SANTA FE,4
18/03/2024,SANTA FE,5
19/03/2024,SANTA FE,6
20/03/2024,SANTA FE,5
21/03/2024,SANTA FE,4
22/03/2024,SANTA FE,8
23/03/2024,SANTA FE,3
24/03/2024,SANTA FE,7
25/03/2024,SANTA FE,7
26/03/2024,SANTA FE,5
27/03/2024,SANTA FE,10
28/03/2024,SANTA FE,7
29/03/2024,SANTA FE,5
30/03/2024,SANTA FE,6
31/03/2024,SANTA FE,5
01/04/2024,SANTA FE,10
02/04/2024,SANTA FE,9
03/04/2024,SANTA FE,13
04/04/2024,SANTA FE,9
05/04/2024,SANTA FE,2
06/04/2024,SANTA FE,3
07/04/2024,SANTA FE,7
08/04/2024,SANTA FE,4
09/04/2024,SANTA FE,7
10/04/2024,SANTA FE,6
11/04/2024,SANTA FE,2
01/11/2023,TLALPAN,12
02/11/2023,TLALPAN,19
03/11/2023,TLALPAN,7
04/11/2023,TLALPAN,3
05/11/2023,TLALPAN,3
06/11/2023,TLALPAN,12
07/11/2023,TLALPAN,6
08/11/2023,TLALPAN,11
09/11/2023,TLALPAN,13
10/11/2023,TLALPAN,5
11/11/2023,TLALPAN,11
12/11/2023,TLALPAN,8
13/11/2023,TLALPAN,14
14/11/2023,TLALPAN,5
15/11/2023,TLALPAN,6
16/11/2023,TLALPAN,18
17/11/2023,TLALPAN,19
18/11/2023,TLALPAN,19
19/11/2023,TLALPAN,15
20/11/2023,TLALPAN,21
21/11/2023,TLALPAN,38
22/11/2023,TLALPAN,19
23/11/2023,TLALPAN,20
24/11/2023,TLALPAN,17
25/11/2023,TLALPAN,13
26/11/2023,TLALPAN,10
27/11/2023,TLALPAN,11
28/11/2023,TLALPAN,6
29/11/2023,TLALPAN,7
30/11/2023,TLALPAN,7
01/12/2023,TLALPAN,7
02/12/2023,TLALPAN,10
03/12/2023,TLALPAN,9
04/12/2023,TLALPAN,15
05/12/2023,TLALPAN,13
06/12/2023,TLALPAN,7
07/12/2023,TLALPAN,7
08/12/2023,TLALPAN,2
09/12/2023,TLALPAN,1
10/12/2023,TLALPAN,3
11/12/2023,TLALPAN,2
12/12/2023,TLALPAN,4
13/12/2023,TLALPAN,2
14/12/2023,TLALPAN,5
15/12/2023,TLALPAN,10
16/12/2023,TLALPAN,2
17/12/2023,TLALPAN,0
18/12/2023,TLALPAN,6
19/12/2023,TLALPAN,13
20/12/2023,TLALPAN,6
21/12/2023,TLALPAN,4
22/12/2023,TLALPAN,4
23/12/2023,TLALPAN,1
26/12/2023,TLALPAN,3
27/12/2023,TLALPAN,5
28/12/2023,TLALPAN,3
29/12/2023,TLALPAN,0
30/12/2023,TLALPAN,3
02/01/2024,TLALPAN,7
03/01/2024,TLALPAN,3
04/01/2024,TLALPAN,6
05/01/2024,TLALPAN,4
06/01/2024,TLALPAN,2
07/01/2024,TLALPAN,3
08/01/2024,TLALPAN,3
09/01/2024,TLALPAN,5
10/01/2024,TLALPAN,3
11/01/2024,TLALPAN,4
12/01/2024,TLALPAN,3
13/01/2024,TLALPAN,12
14/01/2024,TLALPAN,13
15/01/2024,TLALPAN,21
16/01/2024,TLALPAN,40
17/01/2024,TLALPAN,37
18/01/2024,TLALPAN,17
19/01/2024,TLALPAN,6
20/01/2024,TLALPAN,2
21/01/2024,TLALPAN,5
22/01/2024,TLALPAN,10
23/01/2024,TLALPAN,16
24/01/2024,TLALPAN,18
25/01/2024,TLALPAN,6
26/01/2024,TLALPAN,6
27/01/2024,TLALPAN,7
28/01/2024,TLALPAN,21
29/01/2024,TLALPAN,15
30/01/2024,TLALPAN,9
31/01/2024,TLALPAN,7
01/02/2024,TLALPAN,11
02/02/2024,TLALPAN,14
03/02/2024,TLALPAN,7
04/02/2024,TLALPAN,7
05/02/2024,TLALPAN,18
06/02/2024,TLALPAN,14
07/02/2024,TLALPAN,11
08/02/2024,TLALPAN,3
09/02/2024,TLALPAN,14
10/02/2024,TLALPAN,4
11/02/2024,TLALPAN,8
12/02/2024,TLALPAN,17
13/02/2024,TLALPAN,12
14/02/2024,TLALPAN,10
15/02/2024,TLALPAN,5
16/02/2024,TLALPAN,4
17/02/2024,TLALPAN,6
18/02/2024,TLALPAN,4
19/02/2024,TLALPAN,8
20/02/2024,TLALPAN,4
21/02/2024,TLALPAN,4
22/02/2024,TLALPAN,3
23/02/2024,TLALPAN,1
24/02/2024,TLALPAN,8
25/02/2024,TLALPAN,14
26/02/2024,TLALPAN,13
27/02/2024,TLALPAN,11
28/02/2024,TLALPAN,6
29/02/2024,TLALPAN,5
01/03/2024,TLALPAN,4
02/03/2024,TLALPAN,5
03/03/2024,TLALPAN,8
04/03/2024,TLALPAN,21
05/03/2024,TLALPAN,20
06/03/2024,TLALPAN,10
07/03/2024,TLALPAN,13
08/03/2024,TLALPAN,15
09/03/2024,TLALPAN,13
10/03/2024,TLALPAN,7
11/03/2024,TLALPAN,14
12/03/2024,TLALPAN,2
13/03/2024,TLALPAN,3
14/03/2024,TLALPAN,6
15/03/2024,TLALPAN,3
16/03/2024,TLALPAN,13
17/03/2024,TLALPAN,4
18/03/2024,TLALPAN,15
19/03/2024,TLALPAN,6
20/03/2024,TLALPAN,5
21/03/2024,TLALPAN,2
22/03/2024,TLALPAN,2
23/03/2024,TLALPAN,3
24/03/2024,TLALPAN,4
25/03/2024,TLALPAN,7
26/03/2024,TLALPAN,2
27/03/2024,TLALPAN,12
28/03/2024,TLALPAN,5
29/03/2024,TLALPAN,5
30/03/2024,TLALPAN,3
31/03/2024,TLALPAN,2
01/04/2024,TLALPAN,3
02/04/2024,TLALPAN,6
03/04/2024,TLALPAN,9
04/04/2024,TLALPAN,5
05/04/2024,TLALPAN,5
06/04/2024,TLALPAN,5
07/04/2024,TLALPAN,8
08/04/2024,TLALPAN,7
09/04/2024,TLALPAN,5
10/04/2024,TLALPAN,5
11/04/2024,TLALPAN,0
01/11/2023,XOCHIMILCO,0
02/11/2023,XOCHIMILCO,5
03/11/2023,XOCHIMILCO,3
04/11/2023,XOCHIMILCO,9
05/11/2023,XOCHIMILCO,4
06/11/2023,XOCHIMILCO,10
07/11/2023,XOCHIMILCO,8
08/11/2023,XOCHIMILCO,3
09/11/2023,XOCHIMILCO,4
10/11/2023,XOCHIMILCO,1
11/11/2023,XOCHIMILCO,5
12/11/2023,XOCHIMILCO,1
13/11/2023,XOCHIMILCO,3
14/11/2023,XOCHIMILCO,3
15/11/2023,XOCHIMILCO,3
16/11/2023,XOCHIMILCO,3
17/11/2023,XOCHIMILCO,1
18/11/2023,XOCHIMILCO,7
19/11/2023,XOCHIMILCO,5
20/11/2023,XOCHIMILCO,5
21/11/2023,XOCHIMILCO,4
22/11/2023,XOCHIMILCO,3
23/11/2023,XOCHIMILCO,7
24/11/2023,XOCHIMILCO,7
25/11/2023,XOCHIMILCO,9
26/11/2023,XOCHIMILCO,8
27/11/2023,XOCHIMILCO,2
28/11/2023,XOCHIMILCO,1
29/11/2023,XOCHIMILCO,1
30/11/2023,XOCHIMILCO,3
01/12/2023,XOCHIMILCO,3
02/12/2023,XOCHIMILCO,5
03/12/2023,XOCHIMILCO,3
04/12/2023,XOCHIMILCO,9
05/12/2023,XOCHIMILCO,7
06/12/2023,XOCHIMILCO,1
07/12/2023,XOCHIMILCO,3
08/12/2023,XOCHIMILCO,2
09/12/2023,XOCHIMILCO,3
10/12/2023,XOCHIMILCO,1
11/12/2023,XOCHIMILCO,1
12/12/2023,XOCHIMILCO,2
13/12/2023,XOCHIMILCO,0
14/12/2023,XOCHIMILCO,4
15/12/2023,XOCHIMILCO,4
16/12/2023,XOCHIMILCO,2
17/12/2023,XOCHIMILCO,3
18/12/2023,XOCHIMILCO,6
19/12/2023,XOCHIMILCO,1
20/12/2023,XOCHIMILCO,6
21/12/2023,XOCHIMILCO,1
22/12/2023,XOCHIMILCO,6
23/12/2023,XOCHIMILCO,2
26/12/2023,XOCHIMILCO,0
27/12/2023,XOCHIMILCO,0
28/12/2023,XOCHIMILCO,0
29/12/2023,XOCHIMILCO,2
30/12/2023,XOCHIMILCO,5
02/01/2024,XOCHIMILCO,3
03/01/2024,XOCHIMILCO,4
04/01/2024,XOCHIMILCO,4
05/01/2024,XOCHIMILCO,4
06/01/2024,XOCHIMILCO,4
07/01/2024,XOCHIMILCO,6
08/01/2024,XOCHIMILCO,10
09/01/2024,XOCHIMILCO,7
10/01/2024,XOCHIMILCO,3
11/01/2024,XOCHIMILCO,4
12/01/2024,XOCHIMILCO,0
13/01/2024,XOCHIMILCO,4
14/01/2024,XOCHIMILCO,4
15/01/2024,XOCHIMILCO,1
16/01/2024,XOCHIMILCO,3
17/01/2024,XOCHIMILCO,10
18/01/2024,XOCHIMILCO,8
19/01/2024,XOCHIMILCO,4
20/01/2024,XOCHIMILCO,3
21/01/2024,XOCHIMILCO,6
22/01/2024,XOCHIMILCO,8
23/01/2024,XOCHIMILCO,7
24/01/2024,XOCHIMILCO,7
25/01/2024,XOCHIMILCO,3
26/01/2024,XOCHIMILCO,7
27/01/2024,XOCHIMILCO,3
28/01/2024,XOCHIMILCO,1
29/01/2024,XOCHIMILCO,4
30/01/2024,XOCHIMILCO,7
31/01/2024,XOCHIMILCO,8
01/02/2024,XOCHIMILCO,3
02/02/2024,XOCHIMILCO,4
03/02/2024,XOCHIMILCO,3
04/02/2024,XOCHIMILCO,0
05/02/2024,XOCHIMILCO,0
06/02/2024,XOCHIMILCO,5
07/02/2024,XOCHIMILCO,5
08/02/2024,XOCHIMILCO,5
09/02/2024,XOCHIMILCO,0
10/02/2024,XOCHIMILCO,8
11/02/2024,XOCHIMILCO,5
12/02/2024,XOCHIMILCO,7
13/02/2024,XOCHIMILCO,8
14/02/2024,XOCHIMILCO,0
15/02/2024,XOCHIMILCO,5
16/02/2024,XOCHIMILCO,1
17/02/2024,XOCHIMILCO,2
18/02/2024,XOCHIMILCO,2
19/02/2024,XOCHIMILCO,0
20/02/2024,XOCHIMILCO,0
21/02/2024,XOCHIMILCO,4
22/02/2024,XOCHIMILCO,1
23/02/2024,XOCHIMILCO,0
24/02/2024,XOCHIMILCO,6
25/02/2024,XOCHIMILCO,2
26/02/2024,XOCHIMILCO,2
27/02/2024,XOCHIMILCO,3
28/02/2024,XOCHIMILCO,5
29/02/2024,XOCHIMILCO,2
01/03/2024,XOCHIMILCO,2
02/03/2024,XOCHIMILCO,2
03/03/2024,XOCHIMILCO,5
04/03/2024,XOCHIMILCO,6
05/03/2024,XOCHIMILCO,6
06/03/2024,XOCHIMILCO,4
07/03/2024,XOCHIMILCO,4
08/03/2024,XOCHIMILCO,1
09/03/2024,XOCHIMILCO,1
10/03/2024,XOCHIMILCO,0
11/03/2024,XOCHIMILCO,0
12/03/2024,XOCHIMILCO,3
13/03/2024,XOCHIMILCO,0
14/03/2024,XOCHIMILCO,4
15/03/2024,XOCHIMILCO,1
16/03/2024,XOCHIMILCO,4
17/03/2024,XOCHIMILCO,3
18/03/2024,XOCHIMILCO,3
19/03/2024,XOCHIMILCO,11
20/03/2024,XOCHIMILCO,5
21/03/2024,XOCHIMILCO,6
22/03/2024,XOCHIMILCO,6
23/03/2024,XOCHIMILCO,8
24/03/2024,XOCHIMILCO,2
25/03/2024,XOCHIMILCO,7
26/03/2024,XOCHIMILCO,4
27/03/2024,XOCHIMILCO,6
28/03/2024,XOCHIMILCO,4
29/03/2024,XOCHIMILCO,2
30/03/2024,XOCHIMILCO,2
31/03/2024,XOCHIMILCO,2
01/04/2024,XOCHIMILCO,6
02/04/2024,XOCHIMILCO,6
03/04/2024,XOCHIMILCO,9
04/04/2024,XOCHIMILCO,1
05/04/2024,XOCHIMILCO,1
06/04/2024,XOCHIMILCO,5
07/04/2024,XOCHIMILCO,7
08/04/2024,XOCHIMILCO,2
09/04/2024,XOCHIMILCO,3
10/04/2024,XOCHIMILCO,2
11/04/2024,XOCHIMILCO,3
