DIRECCION,Fecha,Instalaciones,Activaciones_automaticas,Activaciones_manuales,PorcAM
CENTRO 1,2023-01-01,NA,NA,38,NA
CENTRO 1,2023-01-02,511,354,157,0.307240704500978
CENTRO 1,2023-01-03,631,443,188,0.297939778129952
CENTRO 1,2023-01-04,667,462,205,0.307346326836582
CENTRO 1,2023-01-05,663,439,224,0.337858220211161
CENTRO 1,2023-01-06,629,445,184,0.292527821939587
CENTRO 1,2023-01-07,752,511,241,0.320478723404255
CENTRO 1,2023-01-08,663,484,179,0.269984917043741
CENTRO 1,2023-01-09,645,440,205,0.317829457364341
CENTRO 1,2023-01-10,704,493,211,0.299715909090909
CENTRO 1,2023-01-11,691,472,219,0.316931982633864
CENTRO 1,2023-01-12,692,477,215,0.310693641618497
CENTRO 1,2023-01-13,667,462,205,0.307346326836582
CENTRO 1,2023-01-14,787,561,226,0.287166454891995
CENTRO 1,2023-01-15,708,494,214,0.30225988700565
CENTRO 1,2023-01-16,640,429,211,0.3296875
CENTRO 1,2023-01-17,637,396,241,0.378335949764521
CENTRO 1,2023-01-18,659,385,274,0.415781487101669
CENTRO 1,2023-01-19,632,390,242,0.382911392405063
CENTRO 1,2023-01-20,654,420,234,0.357798165137615
CENTRO 1,2023-01-21,738,425,313,0.424119241192412
CENTRO 1,2023-01-22,628,388,240,0.382165605095541
CENTRO 1,2023-01-23,632,387,245,0.387658227848101
CENTRO 1,2023-01-24,622,372,250,0.401929260450161
CENTRO 1,2023-01-25,672,387,285,0.424107142857143
CENTRO 1,2023-01-26,684,391,293,0.428362573099415
CENTRO 1,2023-01-27,708,400,308,0.435028248587571
CENTRO 1,2023-01-28,823,463,360,0.437424058323208
CENTRO 1,2023-01-29,693,406,287,0.414141414141414
CENTRO 1,2023-01-30,711,411,300,0.421940928270042
CENTRO 1,2023-01-31,788,447,341,0.432741116751269
CENTRO 1,2023-02-01,644,397,247,0.383540372670807
CENTRO 1,2023-02-02,694,418,276,0.397694524495677
CENTRO 1,2023-02-03,627,383,244,0.389154704944179
CENTRO 1,2023-02-04,762,430,332,0.435695538057743
CENTRO 1,2023-02-05,630,380,250,0.396825396825397
CENTRO 1,2023-02-06,769,437,332,0.431729518855657
CENTRO 1,2023-02-07,677,327,350,0.51698670605613
CENTRO 1,2023-02-08,607,299,308,0.507413509060956
CENTRO 1,2023-02-09,597,294,303,0.507537688442211
CENTRO 1,2023-02-10,592,274,318,0.537162162162162
CENTRO 1,2023-02-11,735,352,383,0.52108843537415
CENTRO 1,2023-02-12,636,306,330,0.518867924528302
CENTRO 1,2023-02-13,618,292,326,0.527508090614887
CENTRO 1,2023-02-14,608,300,308,0.506578947368421
CENTRO 1,2023-02-15,677,334,343,0.506646971935007
CENTRO 1,2023-02-16,620,300,320,0.516129032258065
CENTRO 1,2023-02-17,613,307,306,0.499184339314845
CENTRO 1,2023-02-18,774,360,414,0.534883720930233
CENTRO 1,2023-02-19,722,335,387,0.53601108033241
CENTRO 1,2023-02-20,691,361,330,0.477568740955137
CENTRO 1,2023-02-21,659,466,193,0.292867981790592
CENTRO 1,2023-02-22,618,452,166,0.268608414239482
CENTRO 1,2023-02-23,606,494,112,0.184818481848185
CENTRO 1,2023-02-24,651,536,115,0.176651305683564
CENTRO 1,2023-02-25,786,607,179,0.227735368956743
CENTRO 1,2023-02-26,701,517,184,0.262482168330956
CENTRO 1,2023-02-27,678,536,142,0.209439528023599
CENTRO 1,2023-02-28,793,633,160,0.201765447667087
CENTRO 1,2023-03-01,624,502,122,0.195512820512821
CENTRO 1,2023-03-02,655,532,123,0.187786259541985
CENTRO 1,2023-03-03,734,616,118,0.160762942779292
CENTRO 1,2023-03-04,811,648,163,0.20098643649815
CENTRO 1,2023-03-05,739,549,190,0.257104194857916
CENTRO 1,2023-03-06,634,517,117,0.184542586750789
CENTRO 1,2023-03-07,690,563,127,0.184057971014493
CENTRO 1,2023-03-08,724,621,103,0.142265193370166
CENTRO 1,2023-03-09,707,618,89,0.125884016973126
CENTRO 1,2023-03-10,583,521,62,0.106346483704974
CENTRO 1,2023-03-11,788,702,86,0.109137055837563
CENTRO 1,2023-03-12,625,551,74,0.1184
CENTRO 1,2023-03-13,674,589,85,0.126112759643917
CENTRO 1,2023-03-14,714,643,71,0.0994397759103641
CENTRO 1,2023-03-15,681,655,26,0.0381791483113069
CENTRO 1,2023-03-16,813,797,16,0.019680196801968
CENTRO 1,2023-03-17,1056,1037,19,0.0179924242424242
CENTRO 1,2023-03-18,1154,1117,37,0.0320623916811092
CENTRO 1,2023-03-19,1094,1050,44,0.0402193784277879
CENTRO 1,2023-03-20,1214,1190,24,0.0197693574958814
CENTRO 1,2023-03-21,907,893,14,0.0154355016538037
CENTRO 1,2023-03-22,814,803,11,0.0135135135135135
CENTRO 1,2023-03-23,753,742,11,0.0146082337317397
CENTRO 1,2023-03-24,811,807,4,0.00493218249075216
CENTRO 1,2023-03-25,925,921,4,0.00432432432432432
CENTRO 1,2023-03-26,891,885,6,0.00673400673400673
CENTRO 1,2023-03-27,686,680,6,0.0087463556851312
CENTRO 1,2023-03-28,586,584,2,0.00341296928327645
CENTRO 1,2023-03-29,663,657,6,0.00904977375565611
CENTRO 1,2023-03-30,871,861,10,0.0114810562571757
CENTRO 1,2023-03-31,1093,1080,13,0.0118938700823422
CENTRO 1,2023-04-01,971,959,12,0.0123583934088568
CENTRO 1,2023-04-02,850,845,5,0.00588235294117647
CENTRO 1,2023-04-03,961,948,13,0.0135275754422477
CENTRO 1,2023-04-04,597,588,9,0.0150753768844221
CENTRO 1,2023-04-05,716,707,9,0.0125698324022346
CENTRO 1,2023-04-06,742,732,10,0.0134770889487871
CENTRO 1,2023-04-07,603,599,4,0.0066334991708126
CENTRO 1,2023-04-08,549,545,4,0.00728597449908925
CENTRO 1,2023-04-09,480,478,2,0.00416666666666667
CENTRO 1,2023-04-10,562,558,4,0.00711743772241993
CENTRO 1,2023-04-11,638,629,9,0.0141065830721003
CENTRO 1,2023-04-12,708,702,6,0.00847457627118644
CENTRO 1,2023-04-13,639,626,13,0.0203442879499218
CENTRO 1,2023-04-14,806,805,1,0.00124069478908189
CENTRO 1,2023-04-15,1018,1014,4,0.00392927308447937
CENTRO 1,2023-04-16,1042,1040,2,0.00191938579654511
CENTRO 1,2023-04-17,907,899,8,0.00882028665931643
CENTRO 1,2023-04-18,742,738,4,0.00539083557951483
CENTRO 1,2023-04-19,702,700,2,0.00284900284900285
CENTRO 1,2023-04-20,641,638,3,0.0046801872074883
CENTRO 1,2023-04-21,739,736,3,0.0040595399188092
CENTRO 1,2023-04-22,840,839,1,0.00119047619047619
CENTRO 1,2023-04-23,738,737,1,0.0013550135501355
CENTRO 1,2023-04-24,830,825,5,0.00602409638554217
CENTRO 1,2023-04-25,921,915,6,0.00651465798045603
CENTRO 1,2023-04-26,804,800,4,0.00497512437810945
CENTRO 1,2023-04-27,627,621,6,0.00956937799043062
CENTRO 1,2023-04-28,837,827,10,0.01194743130227
CENTRO 1,2023-04-29,992,981,11,0.0110887096774194
CENTRO 1,2023-04-30,865,848,17,0.0196531791907514
CENTRO 1,2023-05-01,846,833,13,0.0153664302600473
CENTRO 1,2023-05-02,755,745,10,0.0132450331125828
CENTRO 1,2023-05-03,654,644,10,0.0152905198776758
CENTRO 1,2023-05-04,596,588,8,0.0134228187919463
CENTRO 1,2023-05-05,704,696,8,0.0113636363636364
CENTRO 1,2023-05-06,748,738,10,0.0133689839572193
CENTRO 1,2023-05-07,581,572,9,0.0154905335628227
CENTRO 1,2023-05-08,646,638,8,0.0123839009287926
CENTRO 1,2023-05-09,652,633,19,0.0291411042944785
CENTRO 1,2023-05-10,609,593,16,0.0262725779967159
CENTRO 1,2023-05-11,606,600,6,0.0099009900990099
CENTRO 1,2023-05-12,622,616,6,0.00964630225080386
CENTRO 1,2023-05-13,947,931,16,0.0168954593453009
CENTRO 1,2023-05-14,1051,1040,11,0.0104662226450999
CENTRO 1,2023-05-15,1150,1132,18,0.0156521739130435
CENTRO 1,2023-05-16,1213,1198,15,0.0123660346248969
CENTRO 1,2023-05-17,931,914,17,0.0182599355531686
CENTRO 1,2023-05-18,712,700,12,0.0168539325842697
CENTRO 1,2023-05-19,753,740,13,0.0172642762284197
CENTRO 1,2023-05-20,925,904,21,0.0227027027027027
CENTRO 1,2023-05-21,839,831,8,0.00953516090584029
CENTRO 1,2023-05-22,800,790,10,0.0125
CENTRO 1,2023-05-23,751,735,16,0.0213049267643142
CENTRO 1,2023-05-24,703,686,17,0.0241820768136558
CENTRO 1,2023-05-25,713,700,13,0.0182328190743338
CENTRO 1,2023-05-26,881,865,16,0.018161180476731
CENTRO 1,2023-05-27,875,850,25,0.0285714285714286
CENTRO 1,2023-05-28,790,782,8,0.010126582278481
CENTRO 1,2023-05-29,725,717,8,0.0110344827586207
CENTRO 1,2023-05-30,862,845,17,0.0197215777262181
CENTRO 1,2023-05-31,961,946,15,0.0156087408949011
CENTRO 1,2023-06-01,675,662,13,0.0192592592592593
CENTRO 1,2023-06-02,634,622,12,0.0189274447949527
CENTRO 1,2023-06-03,858,849,9,0.0104895104895105
CENTRO 1,2023-06-04,873,858,15,0.0171821305841924
CENTRO 1,2023-06-05,855,835,20,0.0233918128654971
CENTRO 1,2023-06-06,690,681,9,0.0130434782608696
CENTRO 1,2023-06-07,646,630,16,0.0247678018575851
CENTRO 1,2023-06-08,605,593,12,0.0198347107438017
CENTRO 1,2023-06-09,707,695,12,0.016973125884017
CENTRO 1,2023-06-10,885,865,20,0.0225988700564972
CENTRO 1,2023-06-11,786,770,16,0.0203562340966921
CENTRO 1,2023-06-12,760,743,17,0.0223684210526316
CENTRO 1,2023-06-13,759,748,11,0.0144927536231884
CENTRO 1,2023-06-14,779,766,13,0.0166880616174583
CENTRO 1,2023-06-15,780,761,19,0.0243589743589744
CENTRO 1,2023-06-16,804,789,15,0.0186567164179104
CENTRO 1,2023-06-17,942,922,20,0.0212314225053079
CENTRO 1,2023-06-18,691,681,10,0.0144717800289436
CENTRO 1,2023-06-19,783,775,8,0.0102171136653895
CENTRO 1,2023-06-20,808,797,11,0.0136138613861386
CENTRO 1,2023-06-21,712,695,17,0.023876404494382
CENTRO 1,2023-06-22,678,664,14,0.0206489675516224
CENTRO 1,2023-06-23,746,724,22,0.0294906166219839
CENTRO 1,2023-06-24,856,836,20,0.0233644859813084
CENTRO 1,2023-06-25,698,680,18,0.0257879656160458
CENTRO 1,2023-06-26,756,742,14,0.0185185185185185
CENTRO 1,2023-06-27,662,651,11,0.0166163141993958
CENTRO 1,2023-06-28,714,699,15,0.0210084033613445
CENTRO 1,2023-06-29,766,749,17,0.0221932114882507
CENTRO 1,2023-06-30,581,538,43,0.0740103270223752
CENTRO 1,2023-07-01,917,902,15,0.0163576881134133
CENTRO 1,2023-07-02,727,714,13,0.0178817056396149
CENTRO 1,2023-07-03,740,726,14,0.0189189189189189
CENTRO 1,2023-07-04,672,656,16,0.0238095238095238
CENTRO 1,2023-07-05,731,720,11,0.0150478796169631
CENTRO 1,2023-07-06,601,584,17,0.0282861896838602
CENTRO 1,2023-07-07,763,746,17,0.0222804718217562
CENTRO 1,2023-07-08,797,776,21,0.0263488080301129
CENTRO 1,2023-07-09,697,684,13,0.0186513629842181
CENTRO 1,2023-07-10,715,700,15,0.020979020979021
CENTRO 1,2023-07-11,712,694,18,0.0252808988764045
CENTRO 1,2023-07-12,732,712,20,0.0273224043715847
CENTRO 1,2023-07-13,655,633,22,0.033587786259542
CENTRO 1,2023-07-14,733,712,21,0.0286493860845839
CENTRO 1,2023-07-15,873,858,15,0.0171821305841924
CENTRO 1,2023-07-16,733,715,18,0.0245566166439291
CENTRO 1,2023-07-17,754,735,19,0.0251989389920424
CENTRO 1,2023-07-18,787,773,14,0.0177890724269377
CENTRO 1,2023-07-19,686,662,24,0.0349854227405248
CENTRO 1,2023-07-20,791,778,13,0.0164348925410872
CENTRO 1,2023-07-21,694,683,11,0.015850144092219
CENTRO 1,2023-07-22,836,820,16,0.0191387559808612
CENTRO 1,2023-07-23,757,740,17,0.0224570673712021
CENTRO 1,2023-07-24,701,688,13,0.0185449358059914
CENTRO 1,2023-07-25,789,767,22,0.0278833967046895
CENTRO 1,2023-07-26,901,885,16,0.0177580466148724
CENTRO 1,2023-07-27,827,813,14,0.0169286577992745
CENTRO 1,2023-07-28,832,818,14,0.0168269230769231
CENTRO 1,2023-07-29,894,886,8,0.00894854586129754
CENTRO 1,2023-07-30,927,908,19,0.0204962243797195
CENTRO 1,2023-07-31,991,975,16,0.0161453077699294
CENTRO 1,2023-08-01,807,783,24,0.0297397769516729
CENTRO 1,2023-08-02,737,719,18,0.0244233378561737
CENTRO 1,2023-08-03,709,660,49,0.0691114245416079
CENTRO 1,2023-08-04,818,796,22,0.0268948655256724
CENTRO 1,2023-08-05,879,855,24,0.0273037542662116
CENTRO 1,2023-08-06,769,746,23,0.0299089726918075
CENTRO 1,2023-08-07,762,747,15,0.0196850393700787
CENTRO 1,2023-08-08,742,721,21,0.0283018867924528
CENTRO 1,2023-08-09,782,754,28,0.0358056265984655
CENTRO 1,2023-08-10,732,710,22,0.0300546448087432
CENTRO 1,2023-08-11,802,788,14,0.0174563591022444
CENTRO 1,2023-08-12,819,796,23,0.0280830280830281
CENTRO 1,2023-08-13,874,832,42,0.0480549199084668
CENTRO 1,2023-08-14,791,768,23,0.0290771175726928
CENTRO 1,2023-08-15,934,914,20,0.0214132762312634
CENTRO 1,2023-08-16,839,819,20,0.0238379022646007
CENTRO 1,2023-08-17,739,722,17,0.0230040595399188
CENTRO 1,2023-08-18,793,779,14,0.0176544766708701
CENTRO 1,2023-08-19,829,811,18,0.0217129071170084
CENTRO 1,2023-08-20,766,747,19,0.0248041775456919
CENTRO 1,2023-08-21,710,709,1,0.00140845070422535
CENTRO 1,2023-08-22,746,745,1,0.00134048257372654
CENTRO 1,2023-08-23,751,749,2,0.00266311584553928
CENTRO 1,2023-08-24,762,760,2,0.0026246719160105
CENTRO 1,2023-08-25,829,829,0,0
CENTRO 1,2023-08-26,1009,1007,2,0.00198216055500496
CENTRO 1,2023-08-27,952,951,1,0.00105042016806723
CENTRO 1,2023-08-28,894,892,2,0.00223713646532438
CENTRO 1,2023-08-29,913,911,2,0.00219058050383352
CENTRO 1,2023-08-30,862,860,2,0.00232018561484919
CENTRO 1,2023-08-31,775,768,7,0.00903225806451613
CENTRO 1,2023-09-01,736,734,2,0.00271739130434783
CENTRO 1,2023-09-02,795,792,3,0.00377358490566038
CENTRO 1,2023-09-03,743,740,3,0.00403768506056528
CENTRO 1,2023-09-04,726,725,1,0.00137741046831956
CENTRO 1,2023-09-05,704,702,2,0.00284090909090909
CENTRO 1,2023-09-06,716,715,1,0.00139664804469274
CENTRO 1,2023-09-07,793,789,4,0.00504413619167718
CENTRO 1,2023-09-08,650,649,1,0.00153846153846154
CENTRO 1,2023-09-09,804,804,0,0
CENTRO 1,2023-09-10,768,766,2,0.00260416666666667
CENTRO 1,2023-09-11,670,669,1,0.00149253731343284
CENTRO 1,2023-09-12,619,616,3,0.00484652665589661
CENTRO 1,2023-09-13,625,624,1,0.0016
CENTRO 1,2023-09-14,647,645,2,0.00309119010819165
CENTRO 1,2023-09-15,575,569,6,0.0104347826086957
CENTRO 1,2023-09-16,622,618,4,0.00643086816720257
CENTRO 1,2023-09-17,695,693,2,0.00287769784172662
CENTRO 1,2023-09-18,686,685,1,0.00145772594752187
CENTRO 1,2023-09-19,647,643,4,0.00618238021638331
CENTRO 1,2023-09-20,518,516,2,0.00386100386100386
CENTRO 1,2023-09-21,702,698,4,0.0056980056980057
CENTRO 1,2023-09-22,866,864,2,0.0023094688221709
CENTRO 1,2023-09-23,851,850,1,0.00117508813160987
CENTRO 1,2023-09-24,875,873,2,0.00228571428571429
CENTRO 1,2023-09-25,743,741,2,0.00269179004037685
CENTRO 1,2023-09-26,731,728,3,0.00410396716826265
CENTRO 1,2023-09-27,694,691,3,0.00432276657060519
CENTRO 1,2023-09-28,817,811,6,0.00734394124847001
CENTRO 1,2023-09-29,896,893,3,0.00334821428571429
CENTRO 1,2023-09-30,1088,1081,7,0.00643382352941176
CENTRO 1,2023-10-01,745,741,4,0.00536912751677852
CENTRO 1,2023-10-02,718,716,2,0.00278551532033426
CENTRO 1,2023-10-03,663,643,20,0.0301659125188537
CENTRO 1,2023-10-04,660,645,15,0.0227272727272727
CENTRO 1,2023-10-05,656,634,22,0.0335365853658537
CENTRO 1,2023-10-06,731,702,29,0.039671682626539
CENTRO 1,2023-10-07,848,823,25,0.0294811320754717
CENTRO 1,2023-10-08,764,742,22,0.0287958115183246
CENTRO 1,2023-10-09,727,704,23,0.031636863823934
CENTRO 1,2023-10-10,603,586,17,0.0281923714759536
CENTRO 1,2023-10-11,619,604,15,0.024232633279483
CENTRO 1,2023-10-12,583,568,15,0.0257289879931389
CENTRO 1,2023-10-13,675,657,18,0.0266666666666667
CENTRO 1,2023-10-14,864,845,19,0.0219907407407407
CENTRO 1,2023-10-15,862,836,26,0.0301624129930394
CENTRO 1,2023-10-16,820,802,18,0.0219512195121951
CENTRO 1,2023-10-17,762,737,25,0.0328083989501312
CENTRO 1,2023-10-18,678,655,23,0.0339233038348083
CENTRO 1,2023-10-19,709,690,19,0.0267983074753173
CENTRO 1,2023-10-20,734,718,16,0.0217983651226158
CENTRO 1,2023-10-21,916,893,23,0.0251091703056769
CENTRO 1,2023-10-22,806,777,29,0.0359801488833747
CENTRO 1,2023-10-23,785,764,21,0.0267515923566879
CENTRO 1,2023-10-24,726,702,24,0.0330578512396694
CENTRO 1,2023-10-25,626,605,21,0.0335463258785942
CENTRO 2,2023-01-01,NA,NA,19,NA
CENTRO 2,2023-01-02,416,270,146,0.350961538461538
CENTRO 2,2023-01-03,511,345,166,0.324853228962818
CENTRO 2,2023-01-04,524,368,156,0.297709923664122
CENTRO 2,2023-01-05,509,346,163,0.320235756385069
CENTRO 2,2023-01-06,487,335,152,0.31211498973306
CENTRO 2,2023-01-07,583,391,192,0.329331046312178
CENTRO 2,2023-01-08,429,305,124,0.289044289044289
CENTRO 2,2023-01-09,516,333,183,0.354651162790698
CENTRO 2,2023-01-10,534,343,191,0.357677902621723
CENTRO 2,2023-01-11,528,332,196,0.371212121212121
CENTRO 2,2023-01-12,532,319,213,0.400375939849624
CENTRO 2,2023-01-13,552,332,220,0.398550724637681
CENTRO 2,2023-01-14,646,380,266,0.411764705882353
CENTRO 2,2023-01-15,589,347,242,0.410865874363328
CENTRO 2,2023-01-16,570,215,355,0.62280701754386
CENTRO 2,2023-01-17,543,194,349,0.642725598526704
CENTRO 2,2023-01-18,516,225,291,0.563953488372093
CENTRO 2,2023-01-19,486,269,217,0.446502057613169
CENTRO 2,2023-01-20,545,306,239,0.438532110091743
CENTRO 2,2023-01-21,600,315,285,0.475
CENTRO 2,2023-01-22,468,259,209,0.446581196581197
CENTRO 2,2023-01-23,485,259,226,0.465979381443299
CENTRO 2,2023-01-24,525,264,261,0.497142857142857
CENTRO 2,2023-01-25,483,266,217,0.449275362318841
CENTRO 2,2023-01-26,534,267,267,0.5
CENTRO 2,2023-01-27,502,267,235,0.468127490039841
CENTRO 2,2023-01-28,634,313,321,0.506309148264984
CENTRO 2,2023-01-29,484,264,220,0.454545454545455
CENTRO 2,2023-01-30,578,286,292,0.505190311418685
CENTRO 2,2023-01-31,651,346,305,0.468509984639017
CENTRO 2,2023-02-01,578,305,273,0.472318339100346
CENTRO 2,2023-02-02,535,295,240,0.448598130841121
CENTRO 2,2023-02-03,557,286,271,0.486535008976661
CENTRO 2,2023-02-04,712,402,310,0.435393258426966
CENTRO 2,2023-02-05,473,259,214,0.452431289640592
CENTRO 2,2023-02-06,533,286,247,0.463414634146341
CENTRO 2,2023-02-07,530,288,242,0.456603773584906
CENTRO 2,2023-02-08,552,273,279,0.505434782608696
CENTRO 2,2023-02-09,521,299,222,0.426103646833013
CENTRO 2,2023-02-10,559,296,263,0.470483005366726
CENTRO 2,2023-02-11,585,295,290,0.495726495726496
CENTRO 2,2023-02-12,416,221,195,0.46875
CENTRO 2,2023-02-13,519,277,242,0.466281310211946
CENTRO 2,2023-02-14,498,283,215,0.431726907630522
CENTRO 2,2023-02-15,500,292,208,0.416
CENTRO 2,2023-02-16,533,301,232,0.435272045028143
CENTRO 2,2023-02-17,508,272,236,0.464566929133858
CENTRO 2,2023-02-18,660,344,316,0.478787878787879
CENTRO 2,2023-02-19,458,257,201,0.438864628820961
CENTRO 2,2023-02-20,495,280,215,0.434343434343434
CENTRO 2,2023-02-21,492,300,192,0.390243902439024
CENTRO 2,2023-02-22,517,329,188,0.363636363636364
CENTRO 2,2023-02-23,492,309,183,0.371951219512195
CENTRO 2,2023-02-24,502,299,203,0.404382470119522
CENTRO 2,2023-02-25,594,362,232,0.390572390572391
CENTRO 2,2023-02-26,438,284,154,0.351598173515982
CENTRO 2,2023-02-27,549,323,226,0.411657559198543
CENTRO 2,2023-02-28,602,372,230,0.382059800664452
CENTRO 2,2023-03-01,562,340,222,0.395017793594306
CENTRO 2,2023-03-02,484,276,208,0.429752066115702
CENTRO 2,2023-03-03,594,371,223,0.375420875420875
CENTRO 2,2023-03-04,699,438,261,0.373390557939914
CENTRO 2,2023-03-05,527,311,216,0.409867172675522
CENTRO 2,2023-03-06,491,301,190,0.386965376782077
CENTRO 2,2023-03-07,552,343,209,0.378623188405797
CENTRO 2,2023-03-08,543,360,183,0.337016574585635
CENTRO 2,2023-03-09,512,354,158,0.30859375
CENTRO 2,2023-03-10,509,386,123,0.241650294695481
CENTRO 2,2023-03-11,582,426,156,0.268041237113402
CENTRO 2,2023-03-12,466,345,121,0.259656652360515
CENTRO 2,2023-03-13,500,365,135,0.27
CENTRO 2,2023-03-14,547,415,132,0.241316270566728
CENTRO 2,2023-03-15,558,462,96,0.172043010752688
CENTRO 2,2023-03-16,615,513,102,0.165853658536585
CENTRO 2,2023-03-17,746,622,124,0.166219839142091
CENTRO 2,2023-03-18,824,693,131,0.158980582524272
CENTRO 2,2023-03-19,662,573,89,0.134441087613293
CENTRO 2,2023-03-20,770,660,110,0.142857142857143
CENTRO 2,2023-03-21,623,573,50,0.0802568218298555
CENTRO 2,2023-03-22,569,521,48,0.0843585237258348
CENTRO 2,2023-03-23,583,540,43,0.0737564322469983
CENTRO 2,2023-03-24,554,513,41,0.0740072202166065
CENTRO 2,2023-03-25,692,647,45,0.065028901734104
CENTRO 2,2023-03-26,559,524,35,0.0626118067978533
CENTRO 2,2023-03-27,482,454,28,0.0580912863070539
CENTRO 2,2023-03-28,464,440,24,0.0517241379310345
