Fecha,Instalaciones,Activaciones_automaticas,Activaciones_manuales,PorcAM
2023-01-01,2331,1606,725,0.311025311
2023-01-02,2964,2007,957,0.322874494
2023-01-03,3086,2068,1018,0.329876863
2023-01-04,2992,2012,980,0.327540107
2023-01-05,3049,2099,950,0.311577566
2023-01-06,3515,2420,1095,0.311522048
2023-01-07,2530,1768,762,0.301185771
2023-01-08,3003,2051,952,0.317016317
2023-01-09,3244,2199,1045,0.322133169
2023-01-10,3213,2159,1054,0.328042328
2023-01-11,3054,2050,1004,0.328749181
2023-01-12,3131,2118,1013,0.323538805
2023-01-13,3570,2457,1113,0.311764706
2023-01-14,2775,1901,874,0.314954955
2023-01-15,2969,1768,1201,0.404513304
2023-01-16,3051,1845,1206,0.395280236
2023-01-17,2865,1685,1180,0.411867365
2023-01-18,2880,1776,1104,0.383333333
2023-01-19,2990,1821,1169,0.3909699
2023-01-20,3432,1856,1576,0.459207459
2023-01-21,2493,1343,1150,0.461291617
2023-01-22,2812,1514,1298,0.461593172
2023-01-23,2941,1556,1385,0.470928256
2023-01-24,2972,1614,1358,0.456931359
2023-01-25,2976,1493,1483,0.498319892
2023-01-26,3046,1602,1444,0.474064347
2023-01-27,3614,1830,1784,0.493635861
2023-01-28,2650,1389,1261,0.475849057
2023-01-29,3095,1597,1498,0.484006462
2023-01-30,3478,1870,1608,0.462334675
2023-01-31,3030,1651,1379,0.455115512
2023-02-01,3157,1672,1485,0.470383275
2023-02-02,3092,1648,1444,0.467011643
2023-02-03,3749,2005,1744,0.465190718
2023-02-04,2593,1392,1201,0.463170073
2023-02-05,3088,1628,1460,0.472797927
2023-02-06,3097,1622,1475,0.476267356
2023-02-07,2983,1550,1433,0.48038887
2023-02-08,2946,1587,1359,0.461303462
2023-02-09,3107,1586,1521,0.489539749
2023-02-10,3484,1761,1723,0.494546498
2023-02-11,2472,1269,1203,0.486650485
2023-02-12,2766,1412,1354,0.489515546
2023-02-13,2778,1417,1361,0.489920806
2023-02-14,3011,1598,1413,0.469279309
2023-02-15,3043,1587,1456,0.478475189
2023-02-16,3001,1485,1516,0.505164945
2023-02-17,3736,1936,1800,0.481798715
2023-02-18,2585,1307,1278,0.494390716
2023-02-19,2916,1526,1390,0.476680384
2023-02-20,3047,1740,1307,0.428946505
2023-02-21,2896,1730,1166,0.402624309
2023-02-22,2787,1763,1024,0.367420165
2023-02-23,2973,1887,1086,0.365287588
2023-02-24,3569,2248,1321,0.37013169
2023-02-25,2504,1564,940,0.375399361
2023-02-26,3070,1903,1167,0.380130293
2023-02-27,3413,2195,1218,0.356870788
2023-02-28,2978,1907,1071,0.35963734
2023-03-01,3050,1894,1156,0.379016393
2023-03-02,3336,2166,1170,0.350719424
2023-03-03,3893,2376,1517,0.389673773
2023-03-04,2678,1583,1095,0.408887229
2023-03-05,2819,1824,995,0.352962043
2023-03-06,3159,2085,1074,0.339981007
2023-03-07,3270,2214,1056,0.32293578
2023-03-08,3057,2323,734,0.240104678
2023-03-09,2884,2304,580,0.20110957
2023-03-10,3675,2840,835,0.227210884
2023-03-11,2634,2034,600,0.227790433
2023-03-12,2896,2291,605,0.20890884
2023-03-13,3155,2566,589,0.186687797
2023-03-14,3097,2763,334,0.107846303
2023-03-15,3484,3184,300,0.086107922
2023-03-16,4218,3787,431,0.102181128
2023-03-17,4831,4347,484,0.100186297
2023-03-18,3550,3221,329,0.092676056
2023-03-19,4163,3786,377,0.090559693
2023-03-20,3636,3414,222,0.061056106
2023-03-21,3385,3185,200,0.059084195
2023-03-22,3343,3155,188,0.056236913
2023-03-23,3513,3316,197,0.056077427
2023-03-24,4087,3872,215,0.052605823
2023-03-25,3185,3007,178,0.05588697
2023-03-26,2889,2758,131,0.04534441
2023-03-27,2728,2607,121,0.044354839
2023-03-28,3112,2972,140,0.044987147
2023-03-29,3635,3446,189,0.051994498
2023-03-30,4843,4598,245,0.050588478
2023-03-31,4100,3931,169,0.041219512
2023-04-01,2713,2597,116,0.042757095
2023-04-02,3706,3585,121,0.032649757
2023-04-03,3319,3191,128,0.038565833
2023-04-04,3052,2849,203,0.066513761
2023-04-05,3247,3139,108,0.033261472
2023-04-06,2684,2614,70,0.026080477
2023-04-07,2376,2316,60,0.025252525
2023-04-08,1751,1706,45,0.0256996
2023-04-09,2616,2512,104,0.039755352
2023-04-10,3003,2857,146,0.048618049
2023-04-11,3048,2905,143,0.04691601
2023-04-12,2879,2778,101,0.035081626
2023-04-13,3508,3355,153,0.043614595
2023-04-14,4647,4417,230,0.049494297
2023-04-15,3695,3588,107,0.028958051
2023-04-16,3541,3426,115,0.032476701
2023-04-17,3273,3100,173,0.052856706
2023-04-18,3069,2927,142,0.046269143
2023-04-19,3007,2871,136,0.045227802
2023-04-20,3319,3175,144,0.043386562
2023-04-21,3799,3640,159,0.041853119
2023-04-22,2948,2834,114,0.038670285
2023-04-23,3452,3330,122,0.035341831
2023-04-24,4082,3885,197,0.048260657
2023-04-25,3540,3387,153,0.043220339
2023-04-26,3005,2862,143,0.047587354
2023-04-27,3737,3546,191,0.051110516
2023-04-28,4550,4323,227,0.04989011
2023-04-29,3403,3240,163,0.047898913
2023-04-30,3017,2859,158,0.052369904
2023-05-01,3303,3160,143,0.043293975
2023-05-02,2997,2869,128,0.042709376
2023-05-03,3027,2874,153,0.050545094
2023-05-04,3390,3240,150,0.044247788
2023-05-05,3535,3381,154,0.043564356
2023-05-06,2557,2465,92,0.035979664
2023-05-07,2942,2801,141,0.047926581
2023-05-08,3171,3043,128,0.040365815
2023-05-09,2848,2701,147,0.051615169
2023-05-10,2932,2784,148,0.05047749
2023-05-11,3042,2905,137,0.04503616
2023-05-12,4388,4188,200,0.045578851
2023-05-13,4007,3848,159,0.039680559
2023-05-14,4636,4426,210,0.04529767
2023-05-15,4909,4645,264,0.053778774
2023-05-16,4124,3878,246,0.059650824
2023-05-17,3175,3036,139,0.043779528
2023-05-18,3235,3050,185,0.057187017
2023-05-19,4090,3891,199,0.048655257
2023-05-20,3451,3282,169,0.048971313
2023-05-21,3565,3390,175,0.049088359
2023-05-22,3296,3135,161,0.048847087
2023-05-23,3251,3092,159,0.048908028
2023-05-24,3349,3137,212,0.063302478
2023-05-25,3816,3570,246,0.064465409
2023-05-26,4283,3969,314,0.073313098
2023-05-27,3183,2979,204,0.064090481
2023-05-28,3650,3410,240,0.065753425
2023-05-29,4016,3706,310,0.077191235
2023-05-30,4441,4136,305,0.068678226
2023-05-31,3445,3199,246,0.071407837
2023-06-01,3449,3417,32,0.009278052
2023-06-02,3261,3037,224,0.068690586
2023-06-03,3907,3671,236,0.060404402
2023-06-04,3467,3247,220,0.063455437
2023-06-01,3449,3417,32,0.009278052
2023-06-02,3261,3037,224,0.068690586
2023-06-03,3907,3671,236,0.060404402
2023-06-04,3467,3247,220,0.063455437
2023-06-05,3555,3325,230,0.064697609
2023-06-06,3393,3217,176,0.0518715
2023-06-07,3313,3085,228,0.0688198007847872
2023-06-08,3335,3145,190,0.0569715142428786
2023-06-09,3482,3273,209,0.0600229753015508
2023-06-10,4151,3905,246,0.0592628282341604
2023-06-11,3361,3177,184,0.0547456114251711
2023-06-12,3504,3289,215,0.0613584474885845
2023-06-13,3566,3354,212,0.0594503645541223
2023-06-14,3716,3521,195,0.052475780409042
2023-06-15,3734,3540,194,0.0519550080342796
2023-06-16,3689,3487,202,0.054757386825698
2023-06-17,4212,3982,230,0.0546058879392213
2023-06-18,3050,2892,158,0.0518032786885246
2023-06-19,3635,3450,185,0.0508940852819807
2023-06-20,3575,3400,175,0.048951048951049
2023-06-21,3549,3343,206,0.0580445195829811
2023-06-22,3286,3117,169,0.0514303104077906
2023-06-23,3340,3157,183,0.0547904191616766
2023-06-24,3910,3730,180,0.0460358056265985
2023-06-25,3051,2913,138,0.0452310717797443